N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	[{"Label": "Prince Philip, Duke of Edinburgh", "Type": "P", "WikidataId": "Q80976", "Confidence": 1.0, "OccurrenceOffsets": [48], "SurfaceForms": ["Prince Philip"]}, {"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [28], "SurfaceForms": ["Prince Charles"]}, {"Label": "Elizabeth II", "Type": "P", "WikidataId": "Q9682", "Confidence": 0.97, "OccurrenceOffsets": [11], "SurfaceForms": ["Queen Elizabeth"]}]	[]
N60905	autos	autosenthusiasts	Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly	The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.	https://assets.msn.com/labs/mind/AADKhPQ.html	[{"Label": "Ram Pickup", "Type": "V", "WikidataId": "Q1211586", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["Ram 3500"]}]	[{"Label": "Ram Pickup", "Type": "V", "WikidataId": "Q1211586", "Confidence": 1.0, "OccurrenceOffsets": [9], "SurfaceForms": ["Ram 3500"]}, {"Label": "Cummins", "Type": "O", "WikidataId": "Q173476", "Confidence": 1.0, "OccurrenceOffsets": [24], "SurfaceForms": ["Cummins"]}]
N39758	health	nutrition	25 Biggest Grocery Store Mistakes Making You Gain Weight	From picking up free goodies to navigating the wrong aisles, these grocery shopping mistakes could be one of the sneaky reasons you're gaining weight.	https://assets.msn.com/labs/mind/AABqkFQ.html	[{"Label": "Weight gain", "Type": "C", "WikidataId": "Q3403879", "Confidence": 1.0, "OccurrenceOffsets": [45], "SurfaceForms": ["Gain Weight"]}]	[]
N28361	health	wellness	Instagram Filters with Plastic Surgery-Inspired Effects Could Soon Disappear	In an effort to combat some of the negative mental impacts caused by social media, the company announced it is removing all of its filters that give a plastic surgery-like effect.	https://assets.msn.com/labs/mind/AAJaBOM.html	[{"Label": "Instagram", "Type": "W", "WikidataId": "Q209330", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Instagram"]}]	[]
N18680	health	health-news	Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria	A Michigan produce company has recalled nearly 2,300 cases of fresh apples that could be contaminated with listeria.	https://assets.msn.com/labs/mind/AAJwfO8.html	[{"Label": "Michigan", "Type": "G", "WikidataId": "Q1166", "Confidence": 0.998, "OccurrenceOffsets": [0], "SurfaceForms": ["Michigan"]}]	[{"Label": "Michigan", "Type": "G", "WikidataId": "Q1166", "Confidence": 0.998, "OccurrenceOffsets": [2], "SurfaceForms": ["Michigan"]}]
N55610	lifestyle	lifestyleroyals	Kate Middleton's Best Hairstyles Through the Years	The Duchess of Cambridge knows her way around an updo.	https://assets.msn.com/labs/mind/AAEBVOU.html	[{"Label": "Catherine, Duchess of Cambridge", "Type": "P", "WikidataId": "Q10479", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Kate Middleton"]}]	[{"Label": "Catherine, Duchess of Cambridge", "Type": "P", "WikidataId": "Q10479", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Duchess of Cambridge"]}]
N35621	entertainment	celebrity	Stars who got fired from major projects	Take a look back at the celebs who got the boot from major movies and TV shows.	https://assets.msn.com/labs/mind/AABv6WU.html	[]	[]
N22850	travel	travelarticle	Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project	The project, which is the bi-state agency's single-largest investment in the state, is projected to be completed in 2022.	https://assets.msn.com/labs/mind/AAJfTqo.html	[{"Label": "Newark Liberty International Airport", "Type": "F", "WikidataId": "Q466786", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Newark Liberty Airport"]}]	[]
N58173	autos	autossuvs	Is This The 2021 GMC Yukon Denali?	A Motor1.com reader sent this to us, and it sure looks legit.	https://assets.msn.com/labs/mind/AAGZhlc.html	[{"Label": "Chevrolet Tahoe", "Type": "V", "WikidataId": "Q910928", "Confidence": 1.0, "OccurrenceOffsets": [17], "SurfaceForms": ["GMC Yukon Denali"]}]	[{"Label": "Motorsport Network", "Type": "O", "WikidataId": "Q27150138", "Confidence": 1.0, "OccurrenceOffsets": [2], "SurfaceForms": ["Motor1.com"]}]
N29120	sports	football_nfl	John Dorsey admits talks with Washington, but it "takes two to tango"	Team officials in Washington "emphatically" denied a rumor of a Trent Williams trade to Cleveland, according to a report Tuesday. A day later, Browns General Manager John Dorsey admitted publicly he has talked to Washington president Bruce Allen. "We've had a few conversations," Dorsey said, via Mary Kay Cabot of the Cleveland Plain Dealer. "It [more]	https://assets.msn.com/labs/mind/AAISxPW.html	[{"Label": "John Dorsey (American football)", "Type": "P", "WikidataId": "Q14950911", "Confidence": 0.995, "OccurrenceOffsets": [0], "SurfaceForms": ["John Dorsey"]}]	[{"Label": "John Dorsey (American football)", "Type": "P", "WikidataId": "Q14950911", "Confidence": 0.995, "OccurrenceOffsets": [166, 280], "SurfaceForms": ["John Dorsey", "Dorsey"]}, {"Label": "Cleveland Browns", "Type": "O", "WikidataId": "Q223527", "Confidence": 1.0, "OccurrenceOffsets": [143], "SurfaceForms": ["Browns"]}, {"Label": "Cleveland", "Type": "G", "WikidataId": "Q37320", "Confidence": 0.967, "OccurrenceOffsets": [88], "SurfaceForms": ["Cleveland"]}, {"Label": "The Plain Dealer", "Type": "M", "WikidataId": "Q286036", "Confidence": 1.0, "OccurrenceOffsets": [319], "SurfaceForms": ["Cleveland Plain Dealer"]}]
N9786	news	newspolitics	Elijah Cummings to lie in state at US Capitol Thursday	Cummings, a Democrat whose district included sections of Baltimore, died last week at age 68 from complications related to longstanding health issues.	https://assets.msn.com/labs/mind/AAJgNxm.html	[{"Label": "Elijah Cummings", "Type": "P", "WikidataId": "Q934898", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Elijah Cummings"]}, {"Label": "United States Capitol", "Type": "F", "WikidataId": "Q54109", "Confidence": 1.0, "OccurrenceOffsets": [35], "SurfaceForms": ["US Capitol"]}]	[{"Label": "Elijah Cummings", "Type": "P", "WikidataId": "Q934898", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Cummings"]}, {"Label": "Baltimore", "Type": "G", "WikidataId": "Q5092", "Confidence": 0.999, "OccurrenceOffsets": [57], "SurfaceForms": ["Baltimore"]}, {"Label": "Democratic Party (United States)", "Type": "O", "WikidataId": "Q29552", "Confidence": 1.0, "OccurrenceOffsets": [12], "SurfaceForms": ["Democrat"]}]
N47705	travel	traveltripideas	17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia	Disney, Six Flags, and even the Flintstones have had amusement parks that succumbed to disasters, bad press, and shifting entertainment markets. But for the adventurous, abandoned theme parks, whether in California, Florida, or Ohio, can be fascinating places to explore   if you dare.	https://assets.msn.com/labs/mind/AADlunl.html	[{"Label": "Amusement park", "Type": "C", "WikidataId": "Q194195", "Confidence": 0.988, "OccurrenceOffsets": [13], "SurfaceForms": ["Theme Parks"]}, {"Label": "Chills", "Type": "U", "WikidataId": "Q2260058", "Confidence": 0.988, "OccurrenceOffsets": [49], "SurfaceForms": ["Chills"]}]	[{"Label": "Six Flags", "Type": "O", "WikidataId": "Q824278", "Confidence": 1.0, "OccurrenceOffsets": [8], "SurfaceForms": ["Six Flags"]}, {"Label": "Florida", "Type": "G", "WikidataId": "Q812", "Confidence": 1.0, "OccurrenceOffsets": [216], "SurfaceForms": ["Florida"]}, {"Label": "The Flintstones", "Type": "W", "WikidataId": "Q201358", "Confidence": 1.0, "OccurrenceOffsets": [32], "SurfaceForms": ["Flintstones"]}, {"Label": "Ohio", "Type": "G", "WikidataId": "Q1397", "Confidence": 1.0, "OccurrenceOffsets": [228], "SurfaceForms": ["Ohio"]}, {"Label": "Amusement park", "Type": "C", "WikidataId": "Q194195", "Confidence": 0.988, "OccurrenceOffsets": [180], "SurfaceForms": ["theme parks"]}, {"Label": "California", "Type": "G", "WikidataId": "Q99", "Confidence": 1.0, "OccurrenceOffsets": [204], "SurfaceForms": ["California"]}]
N3574	autos	autosnews	Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia	It still won't be offered in the Land Down Under, however.	https://assets.msn.com/labs/mind/AAGBWeL.html	[{"Label": "Ford Bronco", "Type": "V", "WikidataId": "Q534238", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Ford Bronco"]}, {"Label": "Australia", "Type": "G", "WikidataId": "Q408", "Confidence": 0.944, "OccurrenceOffsets": [53], "SurfaceForms": ["Australia"]}]	[]
N42474	news	newsbusiness	Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight	DOJ's Makan Delrahim and the FTC's Joe Simons have agreed to divide Google, Facebook, Amazon, and Apple between them.	https://assets.msn.com/labs/mind/AACI1SK.html	[{"Label": "Big Four tech companies", "Type": "U", "WikidataId": "Q3122864", "Confidence": 0.988, "OccurrenceOffsets": [48], "SurfaceForms": ["Big Tech"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.978, "OccurrenceOffsets": [0], "SurfaceForms": ["Trump"]}]	[{"Label": "Makan Delrahim", "Type": "P", "WikidataId": "Q29474280", "Confidence": 1.0, "OccurrenceOffsets": [6], "SurfaceForms": ["Makan Delrahim"]}, {"Label": "Joseph Simons", "Type": "P", "WikidataId": "Q48968552", "Confidence": 0.999, "OccurrenceOffsets": [35], "SurfaceForms": ["Joe Simons"]}, {"Label": "Google", "Type": "O", "WikidataId": "Q95", "Confidence": 1.0, "OccurrenceOffsets": [68], "SurfaceForms": ["Google"]}, {"Label": "Facebook", "Type": "O", "WikidataId": "Q355", "Confidence": 1.0, "OccurrenceOffsets": [76], "SurfaceForms": ["Facebook"]}, {"Label": "Apple Inc.", "Type": "O", "WikidataId": "Q312", "Confidence": 1.0, "OccurrenceOffsets": [98], "SurfaceForms": ["Apple"]}, {"Label": "Amazon (company)", "Type": "O", "WikidataId": "Q3884", "Confidence": 1.0, "OccurrenceOffsets": [86], "SurfaceForms": ["Amazon"]}]
N64498	sports	golf	PGA Tour winners	A gallery of recent winners on the PGA Tour.	https://assets.msn.com/labs/mind/AAjnQjj.html	[{"Label": "PGA Tour", "Type": "O", "WikidataId": "Q910409", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["PGA Tour"]}]	[{"Label": "PGA Tour", "Type": "O", "WikidataId": "Q910409", "Confidence": 1.0, "OccurrenceOffsets": [35], "SurfaceForms": ["PGA Tour"]}]
N7517	lifestyle	lifestylepetsanimals	10 Things You Never Knew About Owls	With their huge eyes, sharp talons, and swiveling heads, owls are mysterious creatures.	https://assets.msn.com/labs/mind/AAEw1Zd.html	[]	[]
N63665	foodanddrink	recipes	25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner	These last-minute ideas will make you excited for the (sometimes-stressful) holiday. The post 25 Last-Minute Ideas That Will Absolutely Save Your Holidays appeared first on Taste of Home.	https://assets.msn.com/labs/mind/AAHYMgP.html	[]	[{"Label": "Christmas and holiday season", "Type": "C", "WikidataId": "Q3517772", "Confidence": 0.945, "OccurrenceOffsets": [146], "SurfaceForms": ["Holidays"]}, {"Label": "25 (Adele album)", "Type": "W", "WikidataId": "Q21168841", "Confidence": 0.968, "OccurrenceOffsets": [94], "SurfaceForms": ["25"]}, {"Label": "Taste of Home", "Type": "M", "WikidataId": "Q7687701", "Confidence": 1.0, "OccurrenceOffsets": [173], "SurfaceForms": ["Taste of Home"]}]
N59469	lifestyle	lifestyleroyals	Every outfit Duchess Kate has worn in 2019	See Kate Middleton's style choices this year from glam gowns and coat dresses to re-wears, tiaras and hats.	https://assets.msn.com/labs/mind/AABvaDh.html	[]	[{"Label": "Catherine, Duchess of Cambridge", "Type": "P", "WikidataId": "Q10479", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Kate Middleton"]}]
N57356	news	newsscienceandtechnology	New iPad Pro 2019 release date, price, news and leaks	Apple is likely gearing up to release a new series of iPad Pro tablets, so this is what we know and what we want to see.	https://assets.msn.com/labs/mind/AAGZjoR.html	[{"Label": "IPad Pro", "Type": "U", "WikidataId": "Q20962060", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["iPad Pro"]}]	[{"Label": "Apple Inc.", "Type": "O", "WikidataId": "Q312", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["Apple"]}, {"Label": "IPad Pro", "Type": "U", "WikidataId": "Q20962060", "Confidence": 1.0, "OccurrenceOffsets": [54], "SurfaceForms": ["iPad Pro"]}]
N15926	health	weightloss	These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months	"The part of me that knew I had to make changes took control."	https://assets.msn.com/labs/mind/AAB207a.html	[]	[]
N43620	news	newsworld	Without help from US, UN climate fund struggles to meet goal	Rich countries gathered Thursday in France to discuss replenishing an international fund that is meant to help poor nations tackle climate change, but which is falling short of its targets because the U.S. has stopped contributing.	https://assets.msn.com/labs/mind/AAJgO34.html	[{"Label": "United Nations", "Type": "O", "WikidataId": "Q1065", "Confidence": 0.996, "OccurrenceOffsets": [22], "SurfaceForms": ["UN"]}]	[{"Label": "France", "Type": "G", "WikidataId": "Q142", "Confidence": 0.996, "OccurrenceOffsets": [36], "SurfaceForms": ["France"]}]
N60603	entertainment	gaming	Best PS4 games 2019: play great PlayStation 4 games	These are the best PS4 games available today, from Sony's awesome exclusives to third-party must plays	https://assets.msn.com/labs/mind/AACkFyc.html	[{"Label": "PlayStation 4", "Type": "J", "WikidataId": "Q5014725", "Confidence": 1.0, "OccurrenceOffsets": [5, 32], "SurfaceForms": ["PS4", "PlayStation 4"]}]	[{"Label": "PlayStation 4", "Type": "J", "WikidataId": "Q5014725", "Confidence": 1.0, "OccurrenceOffsets": [19], "SurfaceForms": ["PS4"]}, {"Label": "Sony", "Type": "O", "WikidataId": "Q41187", "Confidence": 0.936, "OccurrenceOffsets": [51], "SurfaceForms": ["Sony"]}]
N40078	tv	tv-gallery	The 23 Best TV Reboots of All Time	These TV reboots are the best in their class. Find out which show revivals outshine the competition, or even steal the spotlight from their own originals.	https://assets.msn.com/labs/mind/AAI343h.html	[]	[]
N61409	news	newsscienceandtechnology	Netflix hackers: Why they steal passwords	Netflix accounts don't really offer the selling potential stolen Facebook accounts do, but they still tempt a subset of hackers.	https://assets.msn.com/labs/mind/AAGBXF6.html	[{"Label": "Netflix", "Type": "O", "WikidataId": "Q907311", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Netflix"]}]	[{"Label": "Netflix", "Type": "O", "WikidataId": "Q907311", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Netflix"]}, {"Label": "Facebook", "Type": "O", "WikidataId": "Q355", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Facebook"]}]
N46013	foodanddrink	recipes	20 Must-Try Gravy Recipes for Your Thanksgiving Feast	Turkey just isn't the same without it.	https://assets.msn.com/labs/mind/AAAAUcn.html	[]	[]
N50643	weather	weathertopstories	A little snow causes a big mess, more than 100 crashes on Minnesota roads	A snowfall of a mere one-tenth of an inch caused way more than its share of damaged cars and rattled drivers early Saturday, with 118 crashes reported between 6 a.m. and 11:30 a.m., according to the Minnesota State Patrol. Another 22 vehicles spun out or slid off the slick roads, said State Patrol spokesman Lt. Gordon Shank. No weather-related fatalities were reported. Although 18 people were ...	https://assets.msn.com/labs/mind/AAJJZkz.html	[{"Label": "Minnesota", "Type": "G", "WikidataId": "Q1527", "Confidence": 0.986, "OccurrenceOffsets": [58], "SurfaceForms": ["Minnesota"]}]	[{"Label": "Minnesota State Patrol", "Type": "O", "WikidataId": "Q6868552", "Confidence": 1.0, "OccurrenceOffsets": [199, 286], "SurfaceForms": ["Minnesota State Patrol", "State Patrol"]}]
N60723	news	newsworld	Extinction Rebellion wins court challenge against London police	A blanket ban against the climate change activist's 10-day demonstrations across London in October was ruled unlawful.	https://assets.msn.com/labs/mind/AAJWD7d.html	[{"Label": "Extinction Rebellion", "Type": "N", "WikidataId": "Q58819597", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Extinction Rebellion"]}]	[{"Label": "London", "Type": "G", "WikidataId": "Q84", "Confidence": 0.98, "OccurrenceOffsets": [81], "SurfaceForms": ["London"]}]
N63175	sports	basketball_nba	LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship	NBA Finals MVP Kawhi Leonard and other Clippers say they are used to taunts and booing from Lakers fans, who are "like a religion" in Tinseltown.	https://assets.msn.com/labs/mind/AAJaBQj.html	[{"Label": "Los Angeles Clippers", "Type": "O", "WikidataId": "Q976396", "Confidence": 1.0, "OccurrenceOffsets": [52], "SurfaceForms": ["Clippers"]}, {"Label": "National Basketball Association", "Type": "O", "WikidataId": "Q155223", "Confidence": 1.0, "OccurrenceOffsets": [73], "SurfaceForms": ["NBA"]}]	[{"Label": "Los Angeles Clippers", "Type": "O", "WikidataId": "Q976396", "Confidence": 1.0, "OccurrenceOffsets": [39], "SurfaceForms": ["Clippers"]}, {"Label": "Kawhi Leonard", "Type": "P", "WikidataId": "Q926248", "Confidence": 1.0, "OccurrenceOffsets": [15], "SurfaceForms": ["Kawhi Leonard"]}, {"Label": "NBA Finals Most Valuable Player Award", "Type": "N", "WikidataId": "Q739499", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["NBA Finals MVP"]}]
N22028	lifestyle	lifestylebuzz	Mom with schizophrenia, 6-year-old daughter missing in Queens		https://assets.msn.com/labs/mind/AAJfTsZ.html	[{"Label": "Queens", "Type": "G", "WikidataId": "Q18424", "Confidence": 1.0, "OccurrenceOffsets": [55], "SurfaceForms": ["Queens"]}]	[]
N8795	lifestyle	shop-all	5 Things You Probably Shouldn't Be Buying from Costco	Bigger isn't always better, and some items sell for way cheaper at the supermarket than the warehouse.	https://assets.msn.com/labs/mind/AABmnFz.html	[{"Label": "Costco", "Type": "O", "WikidataId": "Q715583", "Confidence": 1.0, "OccurrenceOffsets": [47], "SurfaceForms": ["Costco"]}, {"Label": "English modal verbs", "Type": "C", "WikidataId": "Q1624317", "Confidence": 1.0, "OccurrenceOffsets": [22], "SurfaceForms": ["Shouldn't"]}]	[]
N43647	news	newsphotos	POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee	We've combined Insider polling and results of Morning Consult's daily survey to create a weekly power ranking of the potential 2020 candidates.	https://assets.msn.com/labs/mind/AAAKxi7.html	[]	[{"Label": "Insider Inc.", "Type": "N", "WikidataId": "Q55669360", "Confidence": 0.946, "OccurrenceOffsets": [15], "SurfaceForms": ["Insider"]}, {"Label": "Morning Consult", "Type": "O", "WikidataId": "Q28401695", "Confidence": 1.0, "OccurrenceOffsets": [46], "SurfaceForms": ["Morning Consult"]}]
N41835	news	newsworld	Today in History: November 2		https://assets.msn.com/labs/mind/AAJwpBS.html	[]	[]
N8071	lifestyle	lifestyleroyals	25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home	The royal family has been visiting the Scottish estate for more than a century.	https://assets.msn.com/labs/mind/AAGBY83.html	[{"Label": "Balmoral Castle", "Type": "S", "WikidataId": "Q42049", "Confidence": 1.0, "OccurrenceOffsets": [33], "SurfaceForms": ["Balmoral Castle"]}]	[]
N26926	lifestyle	voices	I'm Afraid to Tell My Male Bosses I'm Pregnant	Women with children are considered less competent than those without. The longer I can pretend I'm one of the women without, the better.	https://assets.msn.com/labs/mind/AACIMEV.html	[{"Label": "Pregnancy", "Type": "C", "WikidataId": "Q11995", "Confidence": 0.998, "OccurrenceOffsets": [38], "SurfaceForms": ["Pregnant"]}]	[]
N49265	foodanddrink	recipes	These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner	You'll never want the store-bought version ever again.	https://assets.msn.com/labs/mind/AAAAxVC.html	[{"Label": "Cranberry sauce", "Type": "C", "WikidataId": "Q2915430", "Confidence": 1.0, "OccurrenceOffsets": [6], "SurfaceForms": ["Cranberry Sauce"]}]	[]
N5124	sports	basketball_ncaa	Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility	Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season.	https://assets.msn.com/labs/mind/AAJJZo7.html	[{"Label": "Phillip Fulmer", "Type": "P", "WikidataId": "Q7185676", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Phil Fulmer"]}, {"Label": "National Collegiate Athletic Association", "Type": "O", "WikidataId": "Q271805", "Confidence": 0.998, "OccurrenceOffsets": [19], "SurfaceForms": ["NCAA"]}]	[]
N42777	lifestyle	lifestyleroyals	Prince George's Royal Life in Photos	Photos of the future king of England   who is third in line for the throne, behind his father and Prince Charles.	https://assets.msn.com/labs/mind/AABDkOp.html	[]	[{"Label": "Charles, Prince of Wales", "Type": "P", "WikidataId": "Q43274", "Confidence": 1.0, "OccurrenceOffsets": [98], "SurfaceForms": ["Prince Charles"]}]
N41387	tv	tv-gallery	Can you answer these real Jeopardy questions about TV shows?	Culling data straight from the "Jeopardy!" archives, Stacker will provide a "clue" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real "Jeopardy!" questions about TV shows?	https://assets.msn.com/labs/mind/AABs6Gq.html	[{"Label": "Jeopardy!", "Type": "W", "WikidataId": "Q499767", "Confidence": 0.985, "OccurrenceOffsets": [26], "SurfaceForms": ["Jeopardy"]}]	[{"Label": "Jeopardy!", "Type": "W", "WikidataId": "Q499767", "Confidence": 0.985, "OccurrenceOffsets": [32, 203], "SurfaceForms": ["Jeopardy", "Jeopardy"]}]
